id,name,type,level,description,url,urltext,image
1,Sales Dropped,metric_drop,warning,Sales for Pillows by Sleeptrain dropped 55% last week.,/clusters,See slice here,http://www.research.att.com/export/sites/att_labs/library/image_gallery/articles/2011_July-September/201109_ALFP_ed_anomaly.png
2,On discount,price_drop,info,36 items in this basket are on a deal since 11/10,/clusters,See slice here,http://ecx.images-amazon.com/images/I/41NCDPVR4PL._AA160_.jpg
3,Out of stock,oos,danger,5 top selling items have only 50% in stock rate for the last month,/entities,See products here,http://www.research.att.com/export/sites/att_labs/library/image_gallery/articles/2011_July-September/201109_ALFP_ed_anomaly.png
4,Conversion back up,action_impact,success,Recommended action to add images taken 2 days ago. Conversion on the 50 impacted products is up 18%,,See action here,http://www.research.att.com/export/sites/att_labs/library/image_gallery/articles/2011_July-September/201109_ALFP_ed_anomaly.png
5,Out of stock,oos,danger,5 top selling items have only 50% in stock rate for the last month,/enties,See products here,http://www.research.att.com/export/sites/att_labs/library/image_gallery/articles/2011_July-September/201109_ALFP_ed_anomaly.png
6,Conversion back up,action_impact,success,Recommended action to add images taken 2 days ago. Conversion on the 50 impacted products is up 18%,,See action here,http://www.research.att.com/export/sites/att_labs/library/image_gallery/articles/2011_July-September/201109_ALFP_ed_anomaly.png
7,Out of stock,oos,danger,5 top selling items have only 50% in stock rate for the last month,/entites,See products here,http://www.research.att.com/export/sites/att_labs/library/image_gallery/articles/2011_July-September/201109_ALFP_ed_anomaly.png
8,Out of stock,oos,danger,5 top selling items have only 50% in stock rate for the last month,/enties,See products here,http://www.research.att.com/export/sites/att_labs/library/image_gallery/articles/2011_July-September/201109_ALFP_ed_anomaly.png
9,Conversion back up,action_impact,success,Recommended action to add images taken 2 days ago. Conversion on the 50 impacted products is up 18%,,See action here,http://www.research.att.com/export/sites/att_labs/library/image_gallery/articles/2011_July-September/201109_ALFP_ed_anomaly.png
10,Out of stock,oos,danger,5 top selling items have only 50% in stock rate for the last month,/entities,See products here,http://www.research.att.com/export/sites/att_labs/library/image_gallery/articles/2011_July-September/201109_ALFP_ed_anomaly.png
11,Conversion back up,action_impact,success,Recommended action to add images taken 2 days ago. Conversion on the 50 impacted products is up 18%,,See action here,http://www.research.att.com/export/sites/att_labs/library/image_gallery/articles/2011_July-September/201109_ALFP_ed_anomaly.png
12,Sales Dropped,metric_drop,warning,Sales for Pillows by Sleeptrain dropped 55% last week.,/slice/1,See slice here,http://www.research.att.com/export/sites/att_labs/library/image_gallery/articles/2011_July-September/201109_ALFP_ed_anomaly.png
13,Sales Dropped,metric_drop,warning,Sales for Pillows by Sleeptrain dropped 55% last week.,/slice/1,See slice here,http://www.research.att.com/export/sites/att_labs/library/image_gallery/articles/2011_July-September/201109_ALFP_ed_anomaly.png
14,On discount,price_drop,info,36 items in this basket are on a deal since 11/10,/slice/1,See slice here,http://ecx.images-amazon.com/images/I/41NCDPVR4PL._AA160_.jpg
15,Sales Dropped,metric_drop,warning,Sales for Pillows by Sleeptrain dropped 55% last week.,/slice/1,See slice here,http://www.research.att.com/export/sites/att_labs/library/image_gallery/articles/2011_July-September/201109_ALFP_ed_anomaly.png
16,On discount,price_drop,info,36 items in this basket are on a deal since 11/10,/slice/1,See slice here,http://ecx.images-amazon.com/images/I/41NCDPVR4PL._AA160_.jpg
17,Sales Dropped,metric_drop,warning,Sales for Pillows by Sleeptrain dropped 55% last week.,/slice/1,See slice here,http://www.research.att.com/export/sites/att_labs/library/image_gallery/articles/2011_July-September/201109_ALFP_ed_anomaly.png
18,On discount,price_drop,info,36 items in this basket are on a deal since 11/10,/slice/1,See slice here,http://ecx.images-amazon.com/images/I/41NCDPVR4PL._AA160_.jpg
19,Out of stock,oos,danger,5 top selling items have only 50% in stock rate for the last month,/slice/1,See products here,http://www.research.att.com/export/sites/att_labs/library/image_gallery/articles/2011_July-September/201109_ALFP_ed_anomaly.png
